IEBCWd_No,Ward,Const_CODE,Constituen,County_COD,County,Male,Female,Total_POP,Region
1,PORT REITZ,1,CHANGAMWE,1,MOMBASA,17661,16118,33779,COAST
2,KIPEVU,1,CHANGAMWE,1,MOMBASA,15078,13050,28128,COAST
3,AIRPORT,1,CHANGAMWE,1,MOMBASA,15796,13866,29662,COAST
4,CHANGAMWE,1,CHANGAMWE,1,MOMBASA,5584,5429,11013,COAST
5,CHAANI,1,CHANGAMWE,1,MOMBASA,16190,13920,30110,COAST
6,JOMVU KUU,2,JOMVU,1,MOMBASA,19973,18803,38776,COAST
7,MIRITINI,2,JOMVU,1,MOMBASA,13643,12291,25934,COAST
8,MIKINDANI,2,JOMVU,1,MOMBASA,27305,25472,52777,COAST
9,MJAMBERE,3,KISAUNI,1,MOMBASA,14105,13180,27285,COAST
10,JUNDA,3,KISAUNI,1,MOMBASA,20949,18483,39432,COAST
11,BAMBURI,3,KISAUNI,1,MOMBASA,13373,11545,24918,COAST
12,MWAKIRUNGE,3,KISAUNI,1,MOMBASA,4322,4607,8929,COAST
13,MTOPANGA,3,KISAUNI,1,MOMBASA,13398,13205,26603,COAST
14,MAGOGONI,3,KISAUNI,1,MOMBASA,14509,14321,28830,COAST
15,SHANZU,3,KISAUNI,1,MOMBASA,19410,18657,38067,COAST
16,FRERE TOWN,4,NYALI,1,MOMBASA,20750,20928,41678,COAST
17,ZIWA LA NG'OMBE,4,NYALI,1,MOMBASA,22618,19569,42187,COAST
18,MKOMANI,4,NYALI,1,MOMBASA,15905,14671,30576,COAST
19,KONGOWEA,4,NYALI,1,MOMBASA,18635,14782,33417,COAST
20,KADZANDANI,4,NYALI,1,MOMBASA,18930,19203,38133,COAST
21,MTONGWE,5,LIKONI,1,MOMBASA,15105,13063,28168,COAST
22,SHIKA ADABU,5,LIKONI,1,MOMBASA,13141,12895,26036,COAST
23,BOFU,5,LIKONI,1,MOMBASA,15740,13414,29154,COAST
24,LIKONI,5,LIKONI,1,MOMBASA,11445,10194,21639,COAST
25,TIBWANI,5,LIKONI,1,MOMBASA,32223,28788,61011,COAST
26,MJI WA KALE/MAKADARA,6,MVITA,1,MOMBASA,12390,13485,25875,COAST
27,TUDOR,6,MVITA,1,MOMBASA,16759,15341,32100,COAST
28,TONONOKA,6,MVITA,1,MOMBASA,13630,13883,27513,COAST
29,SHIMANZI/GANJONI,6,MVITA,1,MOMBASA,9598,9208,18806,COAST
30,MAJENGO,6,MVITA,1,MOMBASA,18759,20075,38834,COAST
